KmlID,MYID,SBBMNUM,newLONGITUDE,newLATITUDE,TureKmlID
1500.0,,0.0,104.7682887,31.4826353,771
1511.0,696.0,2.0,104.7682887,31.4826353,771
1514.0,,0.0,104.7195191,31.4832338,772
1517.0,446.0,0.0,104.688855,31.483326,773
1518.0,,0.0,104.754338,31.4829541,774
1507.0,,0.0,104.754338,31.4829541,774
1519.0,,0.0,104.7147551,31.4833574,775
1520.0,,0.0,104.6752596,31.483301,776
1515.0,,0.0,104.6752596,31.483301,776
1513.0,,0.0,104.6752596,31.483301,776
1522.0,,0.0,104.7295204,31.4834736,777
1523.0,,0.0,104.6936639,31.4834629,778
1521.0,310.0,0.0,104.6936639,31.4834629,778
1524.0,162.0,0.0,104.7398652,31.4835132,779
1525.0,,0.0,104.6532996,31.4835483,780
1526.0,,0.0,104.7522043,31.4835656,781
1527.0,,0.0,104.6739068,31.4833162,782
1516.0,,0.0,104.6739068,31.4833162,782
1494.0,,0.0,104.6739068,31.4833162,782
1501.0,,0.0,104.6739068,31.4833162,782
1502.0,,0.0,104.6739068,31.4833162,782
1509.0,,0.0,104.6739068,31.4833162,782
1512.0,,0.0,104.6739068,31.4833162,782
1528.0,,0.0,104.6723785,31.4837099,783
1530.0,419.0,0.0,104.6823758,31.4839495,784
1529.0,,0.0,104.7665877,31.4839106,785
1531.0,695.0,2.0,104.7665877,31.4839106,785
1532.0,,0.0,104.7493799,31.4841692,786
1533.0,,0.0,104.6636154,31.4841704,787
1534.0,,0.0,104.7102617,31.4843237,788
1536.0,,0.0,104.7102617,31.4843237,788
1537.0,,0.0,104.6692115,31.4843441,789
1535.0,,0.0,104.6692115,31.4843441,789
1538.0,,0.0,104.7292848,31.4843921,790
1539.0,,0.0,104.7686915,31.4844636,791
1540.0,357.0,0.0,104.7019203,31.4844984,792
1541.0,,0.0,104.6076,31.4846096,793
1546.0,548.0,0.0,104.6866663,31.4848631,794
1548.0,,0.0,104.7669514,31.4848861,795
1544.0,,0.0,104.7669514,31.4848861,795
1542.0,,0.0,104.7512134,31.4848301,796
