KmlID,LONGITUDE,LATITUDE,MYID,SBBMNUM,newKmlID,newLONGITUDE,newLATITUDE
1660.0,104.704352,31.4890897,,0.0,1660.0,104.704352,31.4890897
1661.0,104.6683783,31.4891501,,0.0,1665.0,104.6683327,31.4892059
1662.0,104.6683173,31.4891511,,0.0,1665.0,104.6683327,31.4892059
1663.0,104.6683174,31.4891524,,0.0,1665.0,104.6683327,31.4892059
1664.0,104.6683734,31.4892195,,0.0,1665.0,104.6683327,31.4892059
1665.0,104.6683125,31.4892262,,0.0,1665.0,104.6683327,31.4892059
1666.0,104.7364599,31.4892984,,0.0,1667.0,104.7365242,31.489081
1667.0,104.7365882,31.4892988,,0.0,1667.0,104.7365242,31.489081
1668.0,104.6663099,31.4893895,,0.0,1670.0,104.6662985,31.4894246
1669.0,104.7400574,31.4894131,,0.0,1669.0,104.7400574,31.4894131
1670.0,104.6662871,31.4894597,,0.0,1670.0,104.6662985,31.4894246
1671.0,104.7705693,31.4894866,206.0,0.0,1673.0,104.7704869,31.4895062
1672.0,104.7323156,31.4894905,,0.0,1672.0,104.7323156,31.4894905
1673.0,104.7704045,31.4895259,683.0,1.0,1673.0,104.7704869,31.4895062
1674.0,104.6854117,31.4896532,657.0,3.0,1674.0,104.6853856,31.4897725
1675.0,104.6852595,31.4897233,,0.0,1674.0,104.6853856,31.4897725
1676.0,104.7053368,31.4897605,,0.0,1676.0,104.7053368,31.4897605
1677.0,104.6854725,31.4897946,,0.0,1678.0,104.685367,31.4898035
1678.0,104.68533,31.4898654,245.0,4.0,1678.0,104.685367,31.4898035
1679.0,104.7689853,31.4898666,,0.0,1679.0,104.7689853,31.4898666
1680.0,104.7084082,31.4900702,444.0,0.0,1680.0,104.7084082,31.4900702
1681.0,104.7676169,31.4901927,402.0,0.0,1681.0,104.7676169,31.4901927
1682.0,104.7015223,31.490208,,0.0,1683.0,104.7015962,31.4902553
1683.0,104.7016701,31.4903026,373.0,6.0,1683.0,104.7015962,31.4902553
1684.0,104.6934426,31.4903471,,0.0,1684.0,104.6934426,31.4903471
1685.0,104.7127431,31.4903982,,0.0,1694.0,104.7123113,31.4905949
1686.0,104.7552859,31.4904607,,0.0,1686.0,104.7552859,31.4904607
1687.0,104.7125967,31.4904649,230.0,0.0,1694.0,104.7123113,31.4905949
1688.0,104.6779512,31.4905282,,0.0,1690.0,104.6778011,31.4906312
1689.0,104.7626438,31.4905529,,0.0,1689.0,104.7626438,31.4905529
1690.0,104.6778647,31.4905892,358.0,3.0,1690.0,104.6778011,31.4906312
1691.0,104.7492676,31.4906045,729.0,2.0,1691.0,104.7492676,31.4906045
1692.0,104.6776944,31.4907038,,0.0,1690.0,104.6778011,31.4906312
1693.0,104.6730406,31.4907532,,0.0,1693.0,104.6730406,31.4907532
1694.0,104.7119528,31.4907582,,0.0,1694.0,104.7123113,31.4905949
1695.0,104.7605557,31.4907757,,0.0,1695.0,104.7605557,31.4907757
1696.0,104.772057,31.4908171,,0.0,1706.0,104.7713036,31.4910528
1697.0,104.7027434,31.4908856,355.0,0.0,1697.0,104.7027434,31.4908856
1698.0,104.6826612,31.4909327,286.0,0.0,1704.0,104.6827135,31.4910077
1699.0,104.6678731,31.4909417,,0.0,1702.0,104.6679015,31.4909511
1700.0,104.7286956,31.4909455,517.0,0.0,1700.0,104.7286956,31.4909455
1701.0,104.7066672,31.4909499,,0.0,1701.0,104.7066672,31.4909499
