MYID,SBBMNUM,newLONGITUDE,newLATITUDE,TureKmlID
740.0,2.0,104.7735994,31.4206403,51
479.0,1.0,104.7577629,31.4207101,52
,0.0,104.7596451,31.4207968,53
377.0,0.0,104.7596451,31.4207968,53
,0.0,104.6759969,31.4212699,54
,0.0,104.6972422,31.421638,55
187.0,4.0,104.7634654,31.4220348,56
,0.0,104.6059558,31.422076,57
724.0,2.0,104.7646818,31.422448,58
,0.0,104.7350306,31.4230545,59
,0.0,104.7618826,31.4231023,60
,0.0,104.7618826,31.4231023,60
466.0,0.0,104.7682662,31.423689,61
,0.0,104.7628372,31.4235515,62
,0.0,104.7628372,31.4235515,62
,0.0,104.7361626,31.4240091,63
,0.0,104.7361626,31.4240091,63
,0.0,104.7361626,31.4240091,63
,0.0,104.7494565,31.4241772,64
,0.0,104.7506085,31.424592,65
,0.0,104.7311805,31.4248808,66
,0.0,104.7722805,31.4250537,67
186.0,4.0,104.7722805,31.4250537,67
,0.0,104.7539965,31.4254645,68
,0.0,104.7675064,31.4254749,69
,0.0,104.7670571,31.4265713,70
,0.0,104.7626872,31.4265693,71
,0.0,104.7626872,31.4265693,71
,0.0,104.7626872,31.4265693,71
,0.0,104.7626872,31.4265693,71
,0.0,104.7544871,31.4266096,72
,0.0,104.7544871,31.4266096,72
,0.0,104.7544871,31.4266096,72
,0.0,104.7544871,31.4266096,72
,0.0,104.7544871,31.4266096,72
,0.0,104.7544871,31.4266096,72
,0.0,104.7544871,31.4266096,72
,0.0,104.7532663,31.4269019,73
,0.0,104.7507888,31.4268378,74
,0.0,104.7507888,31.4268378,74
,0.0,104.7507888,31.4268378,74
,0.0,104.7507888,31.4268378,74
,0.0,104.7483103,31.4271177,75
,0.0,104.7483103,31.4271177,75
,0.0,104.7487014,31.4268245,75
,0.0,104.7487014,31.4268245,75
,0.0,104.7483103,31.4271177,75
,0.0,104.7483103,31.4271177,75
,0.0,104.6643498,31.4273273,76
,0.0,104.7629414,31.4275333,77
,0.0,104.7629414,31.4275333,77
,0.0,104.7629414,31.4275333,77
,0.0,104.7710892,31.4278266,78
225.0,6.0,104.7710892,31.4278266,78
,0.0,104.7325233,31.4280583,79
,0.0,104.7325233,31.4280583,79
,0.0,104.7471185,31.4283715,80
723.0,1.0,104.7471185,31.4283715,80
,0.0,104.7738217,31.4287227,81
455.0,0.0,104.7491768,31.4285322,82
,0.0,104.7491768,31.4285322,82
,0.0,104.7248108,31.42901,83
,0.0,104.7248108,31.42901,83
,0.0,104.748169,31.4291681,84
,0.0,104.748169,31.4291681,84
,0.0,104.7367481,31.4292995,85
,0.0,104.7449048,31.4294912,86
,0.0,104.7639828,31.4293773,87
,0.0,104.7639828,31.4293773,87
,0.0,104.7639828,31.4293773,87
,0.0,104.6551187,31.4300911,88
,0.0,104.6804087,31.4297859,89
,0.0,104.6804087,31.4297859,89
,0.0,104.7352837,31.430192,90
276.0,4.0,104.7698403,31.4305977,91
,0.0,104.7641344,31.4305373,92
,0.0,104.7641344,31.4305373,92
429.0,0.0,104.7641344,31.4305373,92
,0.0,104.7641344,31.4305373,92
,0.0,104.7641344,31.4305373,92
,0.0,104.7641344,31.4305373,92
678.0,1.0,104.7488365,31.4315826,93
,0.0,104.7488365,31.4315826,93
,0.0,104.7488365,31.4315826,93
318.0,0.0,104.7726115,31.4314849,94
317.0,0.0,104.7651528,31.4319776,95
,0.0,104.7516399,31.4322907,96
,0.0,104.7534585,31.4323937,97
,0.0,104.7280553,31.4323966,98
,0.0,104.6806169,31.4324601,99
,0.0,104.6806169,31.4324601,99
,0.0,104.740786,31.4328802,100
,0.0,104.6883108,31.4329186,101
224.0,0.0,104.7687606,31.4331106,102
,0.0,104.749234,31.4331901,103
,0.0,104.7252921,31.4336324,104
,0.0,104.7252921,31.4336324,104
,0.0,104.6677697,31.4338872,105
,0.0,104.7715418,31.4340492,106
,0.0,104.7512747,31.4339671,107
,0.0,104.7512747,31.4339671,107
,0.0,104.7549793,31.4345724,108
,0.0,104.7251919,31.4351355,109
,0.0,104.6890104,31.4352803,110
,0.0,104.6890104,31.4352803,110
,0.0,104.7165943,31.4353643,111
,0.0,104.7536436,31.4354946,112
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7430769,31.4356746,113
,0.0,104.7381647,31.43584,114
,0.0,104.7440964,31.4360178,115
,0.0,104.7415989,31.4357479,116
,0.0,104.7415989,31.4357479,116
,0.0,104.7674238,31.4362287,117
195.0,2.0,104.7674238,31.4362287,117
,0.0,104.7291668,31.4365235,118
,0.0,104.6820224,31.4366755,119
,0.0,104.6820224,31.4366755,119
,0.0,104.7703026,31.4370192,120
,0.0,104.7476541,31.4372338,121
,0.0,104.7377702,31.4376184,122
,0.0,104.7729284,31.4379031,123
694.0,6.0,104.7729284,31.4379031,123
,0.0,104.75474,31.437989,124
,0.0,104.7474557,31.4382339,125
339.0,2.0,104.7413669,31.4384258,126
,0.0,104.7205234,31.4386755,127
,0.0,104.6415967,31.43879,128
,0.0,104.7252332,31.4387641,129
,0.0,104.7252332,31.4387641,129
,0.0,104.7252332,31.4387641,129
,0.0,104.7395448,31.4396006,130
632.0,3.0,104.7250069,31.4400303,131
720.0,5.0,104.6728452,31.440843,132
,0.0,104.6728452,31.440843,132
,0.0,104.6728452,31.440843,132
,0.0,104.6728452,31.440843,132
,0.0,104.7147659,31.4408331,133
,0.0,104.7654496,31.4413548,134
,0.0,104.7654496,31.4413548,134
46.0,4.0,104.7654496,31.4413548,134
,0.0,104.7165166,31.4410625,135
,0.0,104.7714802,31.4413443,136
,0.0,104.6700028,31.4414517,137
,0.0,104.6700028,31.4414517,137
,0.0,104.7542464,31.441685,138
,0.0,104.6738989,31.4418404,139
,0.0,104.724924,31.4418638,140
,0.0,104.7187437,31.4422938,141
,0.0,104.6675762,31.442376,142
,0.0,104.7681997,31.4428801,143
426.0,0.0,104.7313747,31.4433747,144
,0.0,104.7270953,31.4438392,145
,0.0,104.7692173,31.4439231,146
,0.0,104.7207014,31.4437127,147
,0.0,104.7207014,31.4437127,147
,0.0,104.6471902,31.4440076,148
,0.0,104.7281473,31.4443314,149
,0.0,104.6404558,31.4443916,150
,0.0,104.6646404,31.444582,151
,0.0,104.7639391,31.4445682,152
,0.0,104.7639391,31.4445682,152
41.0,4.0,104.7639391,31.4445682,152
,0.0,104.6431368,31.4450324,153
427.0,2.0,104.7255292,31.4455288,154
,0.0,104.7255658,31.4455399,154
,0.0,104.7255658,31.4455399,154
,0.0,104.7255658,31.4455399,154
,0.0,104.7255292,31.4455288,154
,0.0,104.7162392,31.4452032,155
,0.0,104.6337678,31.4452452,156
,0.0,104.7530308,31.4454242,157
,0.0,104.7522848,31.4454475,157
,0.0,104.7530308,31.4454242,157
20.0,2.0,104.7526578,31.4454359,157
,0.0,104.7526578,31.4454359,157
,0.0,104.7477108,31.4454161,158
,0.0,104.762075,31.4454203,159
,0.0,104.6459558,31.4453143,160
,0.0,104.6459558,31.4453143,160
,0.0,104.7522848,31.4454475,161
,0.0,104.7522848,31.4454475,161
,0.0,104.7522848,31.4454475,161
,0.0,104.7255658,31.4455399,162
,0.0,104.7254926,31.4455177,162
,0.0,104.7254926,31.4455177,162
,0.0,104.7254926,31.4455177,162
550.0,0.0,104.7501089,31.4458254,163
,0.0,104.7501089,31.4458254,163
,0.0,104.654238,31.4459045,164
,0.0,104.6999149,31.445916,165
